,state,year,quater,district,registered_users,app_opens
4236,gujarat,2022,4,sabar kantha district,397066,17276367
4237,gujarat,2022,4,tapi district,156189,6355677
4238,gujarat,2022,4,vadodara district,1587831,48909823
4239,gujarat,2022,4,banas kantha district,939693,54467383
4240,gujarat,2022,4,amreli district,293382,9446129
4241,gujarat,2022,4,ahmadabad district,4530853,157291084
4242,gujarat,2022,4,dohad district,226068,11309950
4243,gujarat,2022,4,navsari district,328740,8737777
4244,gujarat,2022,4,patan district,384293,15704430
4245,gujarat,2022,4,kachchh district,781383,35644500
4246,gujarat,2022,4,surendranagar district,366161,13510037
4247,gujarat,2022,4,morbi district,322150,13816692
4248,gujarat,2023,1,anand district,622872,11094924
4249,gujarat,2023,1,jamnagar district,428091,21680075
4250,gujarat,2023,1,devbhumi dwarka district,148801,18769135
4251,gujarat,2023,1,rajkot district,1079736,39239734
4252,gujarat,2023,1,aravallis district,238121,28001732
4253,gujarat,2023,1,chhotaudepur district,100145,18084906
4254,gujarat,2023,1,botad district,204401,17674036
4255,gujarat,2023,1,bharuch district,881508,35066869
4256,gujarat,2023,1,bhavnagar district,722197,29045885
4257,gujarat,2023,1,junagadh district,308246,17876630
4258,gujarat,2023,1,mahesana district,798353,22683144
4259,gujarat,2023,1,the dangs district,28390,11092861
4260,gujarat,2023,1,kheda district,489299,16496752
4261,gujarat,2023,1,surat district,3919829,31170398
4262,gujarat,2023,1,porbandar district,107378,6961510
4263,gujarat,2023,1,gandhinagar district,968586,12538501
4264,gujarat,2023,1,panch mahals district,320798,22409437
4265,gujarat,2023,1,narmada district,88517,15549721
4266,gujarat,2023,1,gir somnath district,266205,14183188
4267,gujarat,2023,1,valsad district,786811,22096341
4268,gujarat,2023,1,mahisagar district,143947,18381216
4269,gujarat,2023,1,sabar kantha district,415319,24713550
4270,gujarat,2023,1,tapi district,163181,20730719
4271,gujarat,2023,1,vadodara district,1658232,27075998
4272,gujarat,2023,1,banas kantha district,985280,96676164
4273,gujarat,2023,1,amreli district,306770,33221816
4274,gujarat,2023,1,ahmadabad district,4734630,51443909
4275,gujarat,2023,1,dohad district,236847,28965819
4276,gujarat,2023,1,navsari district,343293,13483688
4277,gujarat,2023,1,patan district,402483,30561359
4278,gujarat,2023,1,kachchh district,817441,89545643
4279,gujarat,2023,1,surendranagar district,383186,46572566
4280,gujarat,2023,1,morbi district,337337,25380718
4281,gujarat,2023,2,anand district,647805,11311512
4282,gujarat,2023,2,jamnagar district,446015,21811979
4283,gujarat,2023,2,devbhumi dwarka district,155916,20381650
4284,gujarat,2023,2,rajkot district,1123115,46168824
4285,gujarat,2023,2,aravallis district,249082,31622464
4286,gujarat,2023,2,chhotaudepur district,105124,23735650
4287,gujarat,2023,2,botad district,213517,20757855
4288,gujarat,2023,2,bharuch district,917746,35482362
4289,gujarat,2023,2,bhavnagar district,752872,36260031
4290,gujarat,2023,2,junagadh district,321804,20295551
4291,gujarat,2023,2,mahesana district,831177,25432003
4292,gujarat,2023,2,the dangs district,29687,12920568
4293,gujarat,2023,2,kheda district,510507,18112328
4294,gujarat,2023,2,surat district,4076929,35870416
4295,gujarat,2023,2,porbandar district,112066,8129208
4296,gujarat,2023,2,gandhinagar district,1005603,16489426
4297,gujarat,2023,2,panch mahals district,335149,27320842
4298,gujarat,2023,2,narmada district,92606,19764504
4299,gujarat,2023,2,gir somnath district,278208,16411153
4300,gujarat,2023,2,valsad district,818831,27470764
4301,gujarat,2023,2,mahisagar district,150651,22103545
4302,gujarat,2023,2,sabar kantha district,432909,29833051
4303,gujarat,2023,2,tapi district,170362,21313258
4304,gujarat,2023,2,vadodara district,1721431,30680291
4305,gujarat,2023,2,banas kantha district,1030499,106585524
4306,gujarat,2023,2,amreli district,321306,35081678
4307,gujarat,2023,2,ahmadabad district,4913610,49536121
4308,gujarat,2023,2,dohad district,247908,42813011
4309,gujarat,2023,2,navsari district,357359,15769213
4310,gujarat,2023,2,patan district,420629,38239406
4311,gujarat,2023,2,kachchh district,853047,101725601
4312,gujarat,2023,2,surendranagar district,400879,54979554
4313,gujarat,2023,2,morbi district,352419,33216672
4314,gujarat,2023,3,anand district,673475,24322857
4315,gujarat,2023,3,jamnagar district,464323,45126328
4316,gujarat,2023,3,devbhumi dwarka district,162667,29402824
4317,gujarat,2023,3,rajkot district,1167848,87736067
4318,gujarat,2023,3,aravallis district,259417,43618391
4319,gujarat,2023,3,chhotaudepur district,109721,43061604
4320,gujarat,2023,3,botad district,222558,33589302
4321,gujarat,2023,3,bharuch district,955541,48535847
4322,gujarat,2023,3,bhavnagar district,784444,51079563
4323,gujarat,2023,3,junagadh district,334954,37092145
4324,gujarat,2023,3,mahesana district,864845,31938408
4325,gujarat,2023,3,the dangs district,30986,28418475
4326,gujarat,2023,3,kheda district,531367,37524184
4327,gujarat,2023,3,surat district,4238878,42874494
4328,gujarat,2023,3,porbandar district,116719,16619043
4329,gujarat,2023,3,gandhinagar district,1044993,19640585
4330,gujarat,2023,3,panch mahals district,349209,56191422
4331,gujarat,2023,3,narmada district,96573,41291465
4332,gujarat,2023,3,gir somnath district,290226,48135785
4333,gujarat,2023,3,valsad district,852301,48092794
4334,gujarat,2023,3,mahisagar district,156901,32352434
4335,gujarat,2023,3,sabar kantha district,450547,47901522
4336,gujarat,2023,3,tapi district,177207,22562050
4337,gujarat,2023,3,vadodara district,1789238,38280832
4338,gujarat,2023,3,banas kantha district,1074757,136797869
4339,gujarat,2023,3,amreli district,335190,61940571
4340,gujarat,2023,3,ahmadabad district,5105557,61905156
4341,gujarat,2023,3,dohad district,258572,78361152
4342,gujarat,2023,3,navsari district,371393,16713597
4343,gujarat,2023,3,patan district,438627,48303625
4344,gujarat,2023,3,kachchh district,888857,143539009
4345,gujarat,2023,3,surendranagar district,418160,90077532
4346,gujarat,2023,3,morbi district,367378,86008211
4347,haryana,2018,1,yamunanagar district,46198,0
4348,haryana,2018,1,sonipat district,79638,0
4349,haryana,2018,1,jind district,51815,0
4350,haryana,2018,1,rohtak district,62452,0
4351,haryana,2018,1,faridabad district,231504,0
4352,haryana,2018,1,mahendragarh district,45460,0
4353,haryana,2018,1,hisar district,113872,0
4354,haryana,2018,1,karnal district,73612,0
4355,haryana,2018,1,fatehabad district,48955,0
4356,haryana,2018,1,palwal district,48774,0
4357,haryana,2018,1,charkhi dadri district,14712,0
4358,haryana,2018,1,ambala district,54127,0
4359,haryana,2018,1,rewari district,85350,0
4360,haryana,2018,1,panchkula district,41867,0
4361,haryana,2018,1,bhiwani district,57585,0
4362,haryana,2018,1,sirsa district,70800,0
4363,haryana,2018,1,mewat district,29541,0
4364,haryana,2018,1,panipat district,74739,0
4365,haryana,2018,1,gurugram district,474081,0
4366,haryana,2018,1,kaithal district,41222,0
4367,haryana,2018,1,kurukshetra district,47932,0
4368,haryana,2018,1,jhajjar district,53121,0
4369,haryana,2018,2,yamunanagar district,62261,0
4370,haryana,2018,2,sonipat district,106837,0
4371,haryana,2018,2,jind district,68635,0
4372,haryana,2018,2,rohtak district,82822,0
4373,haryana,2018,2,faridabad district,306358,0
4374,haryana,2018,2,mahendragarh district,60336,0
4375,haryana,2018,2,hisar district,147599,0
4376,haryana,2018,2,karnal district,98276,0
4377,haryana,2018,2,fatehabad district,63066,0
4378,haryana,2018,2,palwal district,64886,0
4379,haryana,2018,2,charkhi dadri district,19559,0
4380,haryana,2018,2,ambala district,73358,0
4381,haryana,2018,2,rewari district,113056,0
4382,haryana,2018,2,panchkula district,56729,0
4383,haryana,2018,2,bhiwani district,75485,0
4384,haryana,2018,2,sirsa district,91908,0
4385,haryana,2018,2,mewat district,41358,0
4386,haryana,2018,2,panipat district,101243,0
4387,haryana,2018,2,gurugram district,621718,0
4388,haryana,2018,2,kaithal district,55832,0
4389,haryana,2018,2,kurukshetra district,64186,0
4390,haryana,2018,2,jhajjar district,71713,0
4391,haryana,2018,3,yamunanagar district,77303,0
4392,haryana,2018,3,sonipat district,132705,0
4393,haryana,2018,3,jind district,84500,0
4394,haryana,2018,3,rohtak district,101649,0
4395,haryana,2018,3,faridabad district,383316,0
4396,haryana,2018,3,mahendragarh district,74545,0
4397,haryana,2018,3,hisar district,176380,0
4398,haryana,2018,3,karnal district,121471,0
4399,haryana,2018,3,fatehabad district,75108,0
4400,haryana,2018,3,palwal district,81688,0
4401,haryana,2018,3,charkhi dadri district,24373,0
4402,haryana,2018,3,ambala district,92472,0
4403,haryana,2018,3,rewari district,138368,0
4404,haryana,2018,3,panchkula district,71245,0
4405,haryana,2018,3,bhiwani district,92291,0
4406,haryana,2018,3,sirsa district,109165,0
4407,haryana,2018,3,mewat district,53421,0
4408,haryana,2018,3,panipat district,124290,0
4409,haryana,2018,3,gurugram district,767369,0
4410,haryana,2018,3,kaithal district,68422,0
4411,haryana,2018,3,kurukshetra district,80097,0
4412,haryana,2018,3,jhajjar district,90220,0
4413,haryana,2018,4,yamunanagar district,94449,0
4414,haryana,2018,4,sonipat district,165599,0
4415,haryana,2018,4,jind district,103156,0
4416,haryana,2018,4,rohtak district,124365,0
4417,haryana,2018,4,faridabad district,521996,0
4418,haryana,2018,4,mahendragarh district,91223,0
4419,haryana,2018,4,hisar district,210671,0
4420,haryana,2018,4,karnal district,149062,0
4421,haryana,2018,4,fatehabad district,88259,0
4422,haryana,2018,4,palwal district,113042,0
4423,haryana,2018,4,charkhi dadri district,29865,0
4424,haryana,2018,4,ambala district,114192,0
4425,haryana,2018,4,rewari district,172035,0
4426,haryana,2018,4,panchkula district,88703,0
4427,haryana,2018,4,bhiwani district,111607,0
4428,haryana,2018,4,sirsa district,127874,0
4429,haryana,2018,4,mewat district,71400,0
4430,haryana,2018,4,panipat district,153137,0
4431,haryana,2018,4,gurugram district,967781,0
4432,haryana,2018,4,kaithal district,82556,0
4433,haryana,2018,4,kurukshetra district,97619,0
4434,haryana,2018,4,jhajjar district,114488,0
4435,haryana,2019,1,yamunanagar district,111935,0
4436,haryana,2019,1,sonipat district,199593,0
4437,haryana,2019,1,jind district,121923,0
4438,haryana,2019,1,rohtak district,147392,0
4439,haryana,2019,1,faridabad district,634024,0
4440,haryana,2019,1,mahendragarh district,109746,0
4441,haryana,2019,1,hisar district,245236,0
4442,haryana,2019,1,karnal district,177042,0
4443,haryana,2019,1,fatehabad district,101001,0
4444,haryana,2019,1,palwal district,141953,0
4445,haryana,2019,1,charkhi dadri district,35788,0
4446,haryana,2019,1,ambala district,136012,0
4447,haryana,2019,1,rewari district,207051,0
4448,haryana,2019,1,panchkula district,105044,0
4449,haryana,2019,1,bhiwani district,132014,0
4450,haryana,2019,1,sirsa district,146936,0
4451,haryana,2019,1,mewat district,92292,0
4452,haryana,2019,1,panipat district,181548,0
4453,haryana,2019,1,gurugram district,1159832,0
4454,haryana,2019,1,kaithal district,97311,0
4455,haryana,2019,1,kurukshetra district,115295,0
4456,haryana,2019,1,jhajjar district,139799,0
4457,haryana,2019,2,yamunanagar district,128212,541843
4458,haryana,2019,2,sonipat district,230883,1176456
4459,haryana,2019,2,jind district,138962,624097
4460,haryana,2019,2,rohtak district,169372,827978
4461,haryana,2019,2,faridabad district,716593,4975626
4462,haryana,2019,2,mahendragarh district,127605,682663
4463,haryana,2019,2,hisar district,277720,1298714
4464,haryana,2019,2,karnal district,204255,977665
4465,haryana,2019,2,fatehabad district,112543,417161
4466,haryana,2019,2,palwal district,165665,1271969
4467,haryana,2019,2,charkhi dadri district,42051,203007
4468,haryana,2019,2,ambala district,157049,747656
4469,haryana,2019,2,rewari district,238349,1505304
4470,haryana,2019,2,panchkula district,120567,577037
4471,haryana,2019,2,bhiwani district,151200,716927
4472,haryana,2019,2,sirsa district,163468,625593
4473,haryana,2019,2,mewat district,111194,822428
4474,haryana,2019,2,panipat district,208172,984634
4475,haryana,2019,2,gurugram district,1307319,10860136
4476,haryana,2019,2,kaithal district,110900,506145
4477,haryana,2019,2,kurukshetra district,132749,672331
4478,haryana,2019,2,jhajjar district,163202,913825
4479,haryana,2019,3,yamunanagar district,143922,1889582
4480,haryana,2019,3,sonipat district,261554,4157560
4481,haryana,2019,3,jind district,154136,2080553
4482,haryana,2019,3,rohtak district,190137,2969017
4483,haryana,2019,3,faridabad district,792884,18337601
4484,haryana,2019,3,mahendragarh district,144934,2455148
4485,haryana,2019,3,hisar district,308179,4755964
4486,haryana,2019,3,karnal district,230603,3506469
4487,haryana,2019,3,fatehabad district,124153,1474393
4488,haryana,2019,3,palwal district,188217,4785385
4489,haryana,2019,3,charkhi dadri district,47499,677064
4490,haryana,2019,3,ambala district,176487,2649300
4491,haryana,2019,3,rewari district,266893,5491022
4492,haryana,2019,3,panchkula district,134405,2132209
4493,haryana,2019,3,bhiwani district,168827,2457872
4494,haryana,2019,3,sirsa district,179271,2162548
4495,haryana,2019,3,mewat district,129646,3067264
4496,haryana,2019,3,panipat district,235346,3503361
4497,haryana,2019,3,gurugram district,1447473,42024810
4498,haryana,2019,3,kaithal district,123358,1747400
4499,haryana,2019,3,kurukshetra district,150733,2685834
4500,haryana,2019,3,jhajjar district,185095,3322231
4501,haryana,2019,4,yamunanagar district,159678,2169534
4502,haryana,2019,4,sonipat district,291479,4952233
4503,haryana,2019,4,jind district,170946,2493137
4504,haryana,2019,4,rohtak district,209750,3382162
4505,haryana,2019,4,faridabad district,862595,19751979
4506,haryana,2019,4,mahendragarh district,162341,3111883
4507,haryana,2019,4,hisar district,339753,5504854
4508,haryana,2019,4,karnal district,255280,4087110
4509,haryana,2019,4,fatehabad district,137065,1761322
4510,haryana,2019,4,palwal district,209434,5450339
4511,haryana,2019,4,charkhi dadri district,52964,800762
4512,haryana,2019,4,ambala district,194413,3060152
4513,haryana,2019,4,rewari district,294161,6508677
4514,haryana,2019,4,panchkula district,147023,2349281
4515,haryana,2019,4,bhiwani district,187294,2966045
4516,haryana,2019,4,sirsa district,196540,2561179
4517,haryana,2019,4,mewat district,149894,3948045
4518,haryana,2019,4,panipat district,262435,4153408
4519,haryana,2019,4,gurugram district,1574240,48600028
4520,haryana,2019,4,kaithal district,136563,2021458
4521,haryana,2019,4,kurukshetra district,166454,3068604
4522,haryana,2019,4,jhajjar district,206377,4019696
4523,haryana,2020,1,yamunanagar district,178961,2625978
4524,haryana,2020,1,sonipat district,325111,5887001
4525,haryana,2020,1,jind district,190347,3049401
4526,haryana,2020,1,rohtak district,231317,3889336
4527,haryana,2020,1,faridabad district,935992,22162012
4528,haryana,2020,1,mahendragarh district,181158,3850212
4529,haryana,2020,1,hisar district,382469,6580784
4530,haryana,2020,1,karnal district,283270,4897515
4531,haryana,2020,1,fatehabad district,152969,2162924
4532,haryana,2020,1,palwal district,233542,6895425
4533,haryana,2020,1,charkhi dadri district,59348,1013262
4534,haryana,2020,1,ambala district,215379,3471937
4535,haryana,2020,1,rewari district,323001,7633507
4536,haryana,2020,1,panchkula district,160534,2591842
4537,haryana,2020,1,bhiwani district,208228,3705008
4538,haryana,2020,1,sirsa district,219623,3131069
4539,haryana,2020,1,mewat district,176392,5813427
4540,haryana,2020,1,panipat district,293916,4951364
4541,haryana,2020,1,gurugram district,1700505,52800456
4542,haryana,2020,1,kaithal district,151832,2465825
4543,haryana,2020,1,kurukshetra district,184817,3491337
4544,haryana,2020,1,jhajjar district,230059,4723846
4545,haryana,2020,2,yamunanagar district,200549,2852631
4546,haryana,2020,2,sonipat district,362890,6034006
4547,haryana,2020,2,jind district,211019,3507406
4548,haryana,2020,2,rohtak district,254647,3888145
4549,haryana,2020,2,faridabad district,1010271,20303296
4550,haryana,2020,2,mahendragarh district,203682,4935866
4551,haryana,2020,2,hisar district,417164,6757973
4552,haryana,2020,2,karnal district,313828,5052334
4553,haryana,2020,2,fatehabad district,168959,2383530
4554,haryana,2020,2,palwal district,259528,8071157
4555,haryana,2020,2,charkhi dadri district,67004,1335183
4556,haryana,2020,2,ambala district,239160,3519221
4557,haryana,2020,2,rewari district,354024,7867627
4558,haryana,2020,2,panchkula district,175646,2382444
4559,haryana,2020,2,bhiwani district,232402,4442225
4560,haryana,2020,2,sirsa district,242506,3333130
4561,haryana,2020,2,mewat district,205921,6897864
4562,haryana,2020,2,panipat district,324833,4902131
4563,haryana,2020,2,gurugram district,1809777,34179491
4564,haryana,2020,2,kaithal district,168699,2713693
4565,haryana,2020,2,kurukshetra district,203788,3228540
4566,haryana,2020,2,jhajjar district,256581,5062230
4567,haryana,2020,3,yamunanagar district,221375,3252209
4568,haryana,2020,3,sonipat district,402001,7704246
4569,haryana,2020,3,jind district,232549,3961859
4570,haryana,2020,3,rohtak district,280325,5088867
4571,haryana,2020,3,faridabad district,1094570,26881573
4572,haryana,2020,3,mahendragarh district,225580,5818789
4573,haryana,2020,3,hisar district,453910,8467943
4574,haryana,2020,3,karnal district,344289,6013147
4575,haryana,2020,3,fatehabad district,184755,2802419
4576,haryana,2020,3,palwal district,285223,9607743
4577,haryana,2020,3,charkhi dadri district,74479,1577462
4578,haryana,2020,3,ambala district,262146,4037143
4579,haryana,2020,3,rewari district,388025,10985340
4580,haryana,2020,3,panchkula district,191215,2948241
4581,haryana,2020,3,bhiwani district,255889,5174248
4582,haryana,2020,3,sirsa district,266572,3948058
4583,haryana,2020,3,mewat district,234889,8159589
4584,haryana,2020,3,panipat district,357830,6114120
4585,haryana,2020,3,gurugram district,1949331,52547158
4586,haryana,2020,3,kaithal district,185714,3114941
4587,haryana,2020,3,kurukshetra district,223297,3932294
4588,haryana,2020,3,jhajjar district,284852,6477380
4589,haryana,2020,4,yamunanagar district,242753,3843610
4590,haryana,2020,4,sonipat district,441088,9660561
4591,haryana,2020,4,jind district,254452,4761235
4592,haryana,2020,4,rohtak district,305922,6466541
4593,haryana,2020,4,faridabad district,1182635,32798951
4594,haryana,2020,4,mahendragarh district,245723,7015783
4595,haryana,2020,4,hisar district,490971,10488914
4596,haryana,2020,4,karnal district,374733,7240718
4597,haryana,2020,4,fatehabad district,200390,3430122
4598,haryana,2020,4,palwal district,310698,11415073
4599,haryana,2020,4,charkhi dadri district,81772,1927582
4600,haryana,2020,4,ambala district,285566,4789038
4601,haryana,2020,4,rewari district,421106,13482897
4602,haryana,2020,4,panchkula district,207622,3577436
4603,haryana,2020,4,bhiwani district,279824,6427240
4604,haryana,2020,4,sirsa district,289231,4751601
4605,haryana,2020,4,mewat district,260584,9795333
4606,haryana,2020,4,panipat district,391952,7475136
4607,haryana,2020,4,gurugram district,2104240,70303122
4608,haryana,2020,4,kaithal district,202911,3708370
4609,haryana,2020,4,kurukshetra district,242556,4668046
4610,haryana,2020,4,jhajjar district,313144,8073998
4611,haryana,2021,1,yamunanagar district,261709,4171624
4612,haryana,2021,1,sonipat district,475192,10259395
4613,haryana,2021,1,jind district,273932,4823696
4614,haryana,2021,1,rohtak district,329147,7034036
4615,haryana,2021,1,faridabad district,1272506,37824622
4616,haryana,2021,1,mahendragarh district,265121,7786463
4617,haryana,2021,1,hisar district,526528,11468230
4618,haryana,2021,1,karnal district,402850,7618470
4619,haryana,2021,1,fatehabad district,215301,3757518
4620,haryana,2021,1,palwal district,335048,12710006
4621,haryana,2021,1,charkhi dadri district,88122,2051877
4622,haryana,2021,1,ambala district,307153,5271257
4623,haryana,2021,1,rewari district,453500,14968730
4624,haryana,2021,1,panchkula district,223482,3991694
4625,haryana,2021,1,bhiwani district,301458,7059970
4626,haryana,2021,1,sirsa district,310911,5229914
4627,haryana,2021,1,mewat district,284058,12278997
4628,haryana,2021,1,panipat district,423131,8104365
4629,haryana,2021,1,gurugram district,2262589,83093025
4630,haryana,2021,1,kaithal district,218191,3635272
4631,haryana,2021,1,kurukshetra district,260673,5020980
4632,haryana,2021,1,jhajjar district,337303,8526542
4633,haryana,2021,2,yamunanagar district,280813,4140694
4634,haryana,2021,2,sonipat district,510058,10153797
4635,haryana,2021,2,jind district,294468,7018936
4636,haryana,2021,2,rohtak district,353305,8816570
4637,haryana,2021,2,faridabad district,1360855,25686092
4638,haryana,2021,2,mahendragarh district,285025,8913568
4639,haryana,2021,2,hisar district,564047,14537419
4640,haryana,2021,2,karnal district,432042,7763201
4641,haryana,2021,2,fatehabad district,231017,5402129
4642,haryana,2021,2,palwal district,359544,11460235
4643,haryana,2021,2,charkhi dadri district,94774,2819667
4644,haryana,2021,2,ambala district,329225,4503822
4645,haryana,2021,2,rewari district,485784,12365298
4646,haryana,2021,2,panchkula district,239170,3407070
4647,haryana,2021,2,bhiwani district,324156,12104870
4648,haryana,2021,2,sirsa district,334240,8146123
4649,haryana,2021,2,mewat district,305382,10933219
4650,haryana,2021,2,panipat district,454218,7391815
4651,haryana,2021,2,gurugram district,2416391,49280675
4652,haryana,2021,2,kaithal district,234468,5633716
4653,haryana,2021,2,kurukshetra district,279452,4734143
4654,haryana,2021,2,jhajjar district,362160,8839447
4655,haryana,2021,3,yamunanagar district,302286,4998805
4656,haryana,2021,3,sonipat district,549613,12651379
4657,haryana,2021,3,jind district,317982,8521357
4658,haryana,2021,3,rohtak district,380370,11569534
4659,haryana,2021,3,faridabad district,1459758,32146169
4660,haryana,2021,3,mahendragarh district,307779,10733157
4661,haryana,2021,3,hisar district,606513,18684922
4662,haryana,2021,3,karnal district,464990,9193645
4663,haryana,2021,3,fatehabad district,248955,6679659
4664,haryana,2021,3,palwal district,387557,13201677
4665,haryana,2021,3,charkhi dadri district,102606,3311432
4666,haryana,2021,3,ambala district,354017,5432997
4667,haryana,2021,3,rewari district,522734,15554432
4668,haryana,2021,3,panchkula district,256782,4337099
4669,haryana,2021,3,bhiwani district,350185,14908880
4670,haryana,2021,3,sirsa district,360856,10580592
4671,haryana,2021,3,mewat district,329621,13505368
4672,haryana,2021,3,panipat district,489226,9399532
4673,haryana,2021,3,gurugram district,2589324,68064580
4674,haryana,2021,3,kaithal district,253117,6616730
4675,haryana,2021,3,kurukshetra district,300453,5682024
4676,haryana,2021,3,jhajjar district,390612,11110135
4677,haryana,2021,4,yamunanagar district,323121,7741855
4678,haryana,2021,4,sonipat district,588700,17748673
4679,haryana,2021,4,jind district,340969,9085091
4680,haryana,2021,4,rohtak district,407245,11928009
4681,haryana,2021,4,faridabad district,1559756,57438537
4682,haryana,2021,4,mahendragarh district,330237,14734337
4683,haryana,2021,4,hisar district,648827,20705821
4684,haryana,2021,4,karnal district,497166,13403200
4685,haryana,2021,4,fatehabad district,266637,7084866
4686,haryana,2021,4,palwal district,415495,22420687
4687,haryana,2021,4,charkhi dadri district,110066,3868580
4688,haryana,2021,4,ambala district,378472,9013011
4689,haryana,2021,4,rewari district,559494,26198366
4690,haryana,2021,4,panchkula district,274389,6464220
4691,haryana,2021,4,bhiwani district,375910,13585473
4692,haryana,2021,4,sirsa district,386829,9891781
4693,haryana,2021,4,mewat district,354072,22238348
4694,haryana,2021,4,panipat district,523678,15114769
4695,haryana,2021,4,gurugram district,2764490,123086843
4696,haryana,2021,4,kaithal district,271182,6547748
4697,haryana,2021,4,kurukshetra district,320754,8758143
4698,haryana,2021,4,jhajjar district,418950,15118629
4699,haryana,2022,1,yamunanagar district,342886,5261303
4700,haryana,2022,1,sonipat district,626016,8614006
4701,haryana,2022,1,jind district,362830,10010350
4702,haryana,2022,1,rohtak district,432623,11550480
4703,haryana,2022,1,faridabad district,1654074,12225903
4704,haryana,2022,1,mahendragarh district,351808,9461334
4705,haryana,2022,1,hisar district,689980,21824961
4706,haryana,2022,1,karnal district,527415,8478743
4707,haryana,2022,1,fatehabad district,283380,9129258
4708,haryana,2022,1,palwal district,441872,7644104
4709,haryana,2022,1,charkhi dadri district,117471,3325337
4710,haryana,2022,1,ambala district,401530,4395015
4711,haryana,2022,1,rewari district,595001,7829983
4712,haryana,2022,1,panchkula district,290799,3228748
4713,haryana,2022,1,bhiwani district,400556,19969949
4714,haryana,2022,1,sirsa district,411238,15813675
4715,haryana,2022,1,mewat district,377036,8636382
4716,haryana,2022,1,panipat district,556104,6462976
4717,haryana,2022,1,gurugram district,2929873,21160321
4718,haryana,2022,1,kaithal district,288578,8668955
4719,haryana,2022,1,kurukshetra district,340030,4582898
4720,haryana,2022,1,jhajjar district,445888,8953786
4721,haryana,2022,2,yamunanagar district,361342,5857085
4722,haryana,2022,2,sonipat district,661278,9608898
4723,haryana,2022,2,jind district,383193,11763338
4724,haryana,2022,2,rohtak district,456537,13062506
4725,haryana,2022,2,faridabad district,1743764,11143884
4726,haryana,2022,2,mahendragarh district,371882,10155289
4727,haryana,2022,2,hisar district,727942,24324343
4728,haryana,2022,2,karnal district,555939,10255701
4729,haryana,2022,2,fatehabad district,299086,10991972
4730,haryana,2022,2,palwal district,466861,7794734
4731,haryana,2022,2,charkhi dadri district,124320,3924588
4732,haryana,2022,2,ambala district,423290,4495249
4733,haryana,2022,2,rewari district,628614,7294508
4734,haryana,2022,2,panchkula district,306460,3344274
4735,haryana,2022,2,bhiwani district,423595,23796359
4736,haryana,2022,2,sirsa district,434030,18578192
4737,haryana,2022,2,mewat district,398639,8071396
4738,haryana,2022,2,panipat district,587006,7013327
4739,haryana,2022,2,gurugram district,3088176,19332862
4740,haryana,2022,2,kaithal district,304645,10330268
4741,haryana,2022,2,kurukshetra district,358109,4842331
4742,haryana,2022,2,jhajjar district,471357,10110205
4743,haryana,2022,3,yamunanagar district,380160,6222538
4744,haryana,2022,3,sonipat district,697349,10573982
4745,haryana,2022,3,jind district,403750,14994759
4746,haryana,2022,3,rohtak district,481082,16106442
4747,haryana,2022,3,faridabad district,1837594,11212188
4748,haryana,2022,3,mahendragarh district,392798,11952432
4749,haryana,2022,3,hisar district,766206,29010891
4750,haryana,2022,3,karnal district,584928,11812886
4751,haryana,2022,3,fatehabad district,314613,12979626
4752,haryana,2022,3,palwal district,492837,7987566
4753,haryana,2022,3,charkhi dadri district,131203,4407641
4754,haryana,2022,3,ambala district,445403,5010389
4755,haryana,2022,3,rewari district,663418,7337609
4756,haryana,2022,3,panchkula district,322320,3767440
4757,haryana,2022,3,bhiwani district,446960,26192869
4758,haryana,2022,3,sirsa district,456583,22326785
4759,haryana,2022,3,mewat district,421283,9426354
4760,haryana,2022,3,panipat district,618937,8459279
4761,haryana,2022,3,gurugram district,3251792,18485432
4762,haryana,2022,3,kaithal district,320757,11770745
4763,haryana,2022,3,kurukshetra district,376380,5506672
4764,haryana,2022,3,jhajjar district,497580,9930636
4765,haryana,2022,4,yamunanagar district,397532,11485377
4766,haryana,2022,4,sonipat district,731324,23782013
4767,haryana,2022,4,jind district,422244,11891107
4768,haryana,2022,4,rohtak district,504058,15615172
4769,haryana,2022,4,faridabad district,1930743,67810059
4770,haryana,2022,4,mahendragarh district,411550,17789576
4771,haryana,2022,4,hisar district,801156,26868596
4772,haryana,2022,4,karnal district,611868,19064390
4773,haryana,2022,4,fatehabad district,328692,9778409
4774,haryana,2022,4,palwal district,516553,24395266
4775,haryana,2022,4,charkhi dadri district,137231,4832466
4776,haryana,2022,4,ambala district,465968,12496882
4777,haryana,2022,4,rewari district,696113,30158839
4778,haryana,2022,4,panchkula district,337614,8968601
4779,haryana,2022,4,bhiwani district,467763,17438413
4780,haryana,2022,4,sirsa district,476800,14033521
4781,haryana,2022,4,mewat district,441859,24884026
4782,haryana,2022,4,panipat district,649292,21978021
4783,haryana,2022,4,gurugram district,3416098,153733247
4784,haryana,2022,4,kaithal district,335364,8729986
4785,haryana,2022,4,kurukshetra district,393430,11455603
4786,haryana,2022,4,jhajjar district,521692,19709308
4787,haryana,2023,1,yamunanagar district,414986,7866007
4788,haryana,2023,1,sonipat district,764865,11625437
4789,haryana,2023,1,jind district,441504,14216848
4790,haryana,2023,1,rohtak district,527046,16091318
4791,haryana,2023,1,faridabad district,2018956,10283031
4792,haryana,2023,1,mahendragarh district,430911,12274162
4793,haryana,2023,1,hisar district,846309,29820179
4794,haryana,2023,1,karnal district,638547,12403580
