,state,year,quater,district,registered_users,app_opens
85,andhra-pradesh,2018,2,prakasam district,253458,0
86,andhra-pradesh,2018,2,anantapur district,326383,0
87,andhra-pradesh,2018,2,kurnool district,319313,0
88,andhra-pradesh,2018,2,guntur district,420326,0
89,andhra-pradesh,2018,2,krishna district,431965,0
90,andhra-pradesh,2018,2,spsr nellore district,261049,0
91,andhra-pradesh,2018,2,vizianagaram district,167327,0
92,andhra-pradesh,2018,2,ysr district,248657,0
93,andhra-pradesh,2018,2,west godavari district,282393,0
94,andhra-pradesh,2018,2,chittoor district,414306,0
95,andhra-pradesh,2018,3,east godavari district,558982,0
96,andhra-pradesh,2018,3,srikakulam district,228456,0
97,andhra-pradesh,2018,3,visakhapatnam district,769096,0
98,andhra-pradesh,2018,3,prakasam district,314899,0
99,andhra-pradesh,2018,3,anantapur district,405855,0
100,andhra-pradesh,2018,3,kurnool district,394311,0
101,andhra-pradesh,2018,3,guntur district,518931,0
102,andhra-pradesh,2018,3,krishna district,537086,0
103,andhra-pradesh,2018,3,spsr nellore district,322446,0
104,andhra-pradesh,2018,3,vizianagaram district,203655,0
105,andhra-pradesh,2018,3,ysr district,308391,0
106,andhra-pradesh,2018,3,west godavari district,349782,0
107,andhra-pradesh,2018,3,chittoor district,515727,0
108,andhra-pradesh,2018,4,east godavari district,694455,0
109,andhra-pradesh,2018,4,srikakulam district,284874,0
110,andhra-pradesh,2018,4,visakhapatnam district,978288,0
111,andhra-pradesh,2018,4,prakasam district,394962,0
112,andhra-pradesh,2018,4,anantapur district,510892,0
113,andhra-pradesh,2018,4,kurnool district,498582,0
114,andhra-pradesh,2018,4,guntur district,659552,0
115,andhra-pradesh,2018,4,krishna district,682479,0
116,andhra-pradesh,2018,4,spsr nellore district,407495,0
117,andhra-pradesh,2018,4,vizianagaram district,257824,0
118,andhra-pradesh,2018,4,ysr district,387058,0
119,andhra-pradesh,2018,4,west godavari district,435668,0
120,andhra-pradesh,2018,4,chittoor district,665280,0
121,andhra-pradesh,2019,1,east godavari district,839277,0
122,andhra-pradesh,2019,1,srikakulam district,345775,0
123,andhra-pradesh,2019,1,visakhapatnam district,1174517,0
124,andhra-pradesh,2019,1,prakasam district,474260,0
125,andhra-pradesh,2019,1,anantapur district,612162,0
126,andhra-pradesh,2019,1,kurnool district,599422,0
127,andhra-pradesh,2019,1,guntur district,802394,0
128,andhra-pradesh,2019,1,krishna district,833694,0
129,andhra-pradesh,2019,1,spsr nellore district,491908,0
130,andhra-pradesh,2019,1,vizianagaram district,313334,0
131,andhra-pradesh,2019,1,ysr district,460590,0
132,andhra-pradesh,2019,1,west godavari district,523372,0
133,andhra-pradesh,2019,1,chittoor district,812314,0
134,andhra-pradesh,2019,2,east godavari district,945181,7156762
135,andhra-pradesh,2019,2,srikakulam district,392764,3230330
136,andhra-pradesh,2019,2,visakhapatnam district,1318740,13681907
137,andhra-pradesh,2019,2,prakasam district,539462,4488365
138,andhra-pradesh,2019,2,anantapur district,695114,6056591
139,andhra-pradesh,2019,2,kurnool district,680118,6240480
140,andhra-pradesh,2019,2,guntur district,915256,7268875
141,andhra-pradesh,2019,2,krishna district,952300,7822632
142,andhra-pradesh,2019,2,spsr nellore district,558303,4774473
143,andhra-pradesh,2019,2,vizianagaram district,355058,3541678
144,andhra-pradesh,2019,2,ysr district,519031,4345848
145,andhra-pradesh,2019,2,west godavari district,592185,3853094
146,andhra-pradesh,2019,2,chittoor district,925491,8914216
147,andhra-pradesh,2019,3,east godavari district,1057167,28275322
