,state,year,quater,pincode,registered_users
148,andaman-&-nicobar-islands,2021,3,744211,2055
149,andaman-&-nicobar-islands,2021,3,744205,1771
150,andaman-&-nicobar-islands,2021,4,744103,14127
151,andaman-&-nicobar-islands,2021,4,744105,12300
152,andaman-&-nicobar-islands,2021,4,744101,11623
153,andaman-&-nicobar-islands,2021,4,744102,7813
154,andaman-&-nicobar-islands,2021,4,744202,3815
155,andaman-&-nicobar-islands,2021,4,744107,3247
156,andaman-&-nicobar-islands,2021,4,744104,2962
157,andaman-&-nicobar-islands,2021,4,744112,2411
158,andaman-&-nicobar-islands,2021,4,744211,2200
159,andaman-&-nicobar-islands,2021,4,744205,1902
160,andaman-&-nicobar-islands,2022,1,744103,15011
161,andaman-&-nicobar-islands,2022,1,744105,13070
162,andaman-&-nicobar-islands,2022,1,744101,12300
163,andaman-&-nicobar-islands,2022,1,744102,8271
164,andaman-&-nicobar-islands,2022,1,744202,4107
165,andaman-&-nicobar-islands,2022,1,744107,3455
166,andaman-&-nicobar-islands,2022,1,744104,3146
167,andaman-&-nicobar-islands,2022,1,744112,2552
168,andaman-&-nicobar-islands,2022,1,744211,2344
169,andaman-&-nicobar-islands,2022,1,744205,2034
170,andaman-&-nicobar-islands,2022,2,744103,15799
171,andaman-&-nicobar-islands,2022,2,744105,13791
172,andaman-&-nicobar-islands,2022,2,744101,12947
173,andaman-&-nicobar-islands,2022,2,744102,8709
174,andaman-&-nicobar-islands,2022,2,744202,4361
175,andaman-&-nicobar-islands,2022,2,744107,3674
176,andaman-&-nicobar-islands,2022,2,744104,3319
177,andaman-&-nicobar-islands,2022,2,744112,2700
178,andaman-&-nicobar-islands,2022,2,744211,2471
179,andaman-&-nicobar-islands,2022,2,744205,2162
180,andaman-&-nicobar-islands,2022,3,744103,16666
181,andaman-&-nicobar-islands,2022,3,744105,14503
182,andaman-&-nicobar-islands,2022,3,744101,13649
183,andaman-&-nicobar-islands,2022,3,744102,9148
184,andaman-&-nicobar-islands,2022,3,744202,4572
185,andaman-&-nicobar-islands,2022,3,744107,3868
186,andaman-&-nicobar-islands,2022,3,744104,3493
187,andaman-&-nicobar-islands,2022,3,744112,2837
188,andaman-&-nicobar-islands,2022,3,744211,2577
189,andaman-&-nicobar-islands,2022,3,744205,2268
190,andaman-&-nicobar-islands,2022,4,744103,17406
191,andaman-&-nicobar-islands,2022,4,744105,15185
192,andaman-&-nicobar-islands,2022,4,744101,14337
193,andaman-&-nicobar-islands,2022,4,744102,9591
194,andaman-&-nicobar-islands,2022,4,744202,4760
195,andaman-&-nicobar-islands,2022,4,744107,4051
196,andaman-&-nicobar-islands,2022,4,744104,3647
197,andaman-&-nicobar-islands,2022,4,744112,2975
198,andaman-&-nicobar-islands,2022,4,744211,2679
199,andaman-&-nicobar-islands,2022,4,744205,2358
200,andaman-&-nicobar-islands,2023,1,744103,18209
201,andaman-&-nicobar-islands,2023,1,744105,15848
202,andaman-&-nicobar-islands,2023,1,744101,15006
203,andaman-&-nicobar-islands,2023,1,744102,10033
204,andaman-&-nicobar-islands,2023,1,744202,4993
205,andaman-&-nicobar-islands,2023,1,744107,4239
206,andaman-&-nicobar-islands,2023,1,744104,3795
207,andaman-&-nicobar-islands,2023,1,744112,3141
208,andaman-&-nicobar-islands,2023,1,744211,2792
209,andaman-&-nicobar-islands,2023,1,744205,2480
210,andaman-&-nicobar-islands,2023,2,744103,18944
211,andaman-&-nicobar-islands,2023,2,744105,16488
212,andaman-&-nicobar-islands,2023,2,744101,15562
213,andaman-&-nicobar-islands,2023,2,744102,10387
214,andaman-&-nicobar-islands,2023,2,744202,5239
215,andaman-&-nicobar-islands,2023,2,744107,4425
216,andaman-&-nicobar-islands,2023,2,744104,3937
217,andaman-&-nicobar-islands,2023,2,744112,3261
218,andaman-&-nicobar-islands,2023,2,744211,2917
219,andaman-&-nicobar-islands,2023,2,744205,2605
220,andaman-&-nicobar-islands,2023,3,744103,19673
221,andaman-&-nicobar-islands,2023,3,744105,17171
222,andaman-&-nicobar-islands,2023,3,744101,16188
223,andaman-&-nicobar-islands,2023,3,744102,10799
224,andaman-&-nicobar-islands,2023,3,744202,5480
225,andaman-&-nicobar-islands,2023,3,744107,4591
226,andaman-&-nicobar-islands,2023,3,744104,4082
227,andaman-&-nicobar-islands,2023,3,744112,3382
228,andaman-&-nicobar-islands,2023,3,744211,3033
229,andaman-&-nicobar-islands,2023,3,744205,2716
230,andhra-pradesh,2018,1,517501,39884
231,andhra-pradesh,2018,1,530016,34201
232,andhra-pradesh,2018,1,517507,34111
233,andhra-pradesh,2018,1,515001,31964
234,andhra-pradesh,2018,1,516001,29078
235,andhra-pradesh,2018,1,518002,29043
236,andhra-pradesh,2018,1,530026,26889
237,andhra-pradesh,2018,1,516360,26187
238,andhra-pradesh,2018,1,520010,24397
239,andhra-pradesh,2018,1,524002,23439
240,andhra-pradesh,2018,2,517501,53468
241,andhra-pradesh,2018,2,517507,45241
242,andhra-pradesh,2018,2,530016,43386
243,andhra-pradesh,2018,2,515001,42466
244,andhra-pradesh,2018,2,516001,38402
245,andhra-pradesh,2018,2,518002,37593
246,andhra-pradesh,2018,2,516360,34544
247,andhra-pradesh,2018,2,530026,34126
248,andhra-pradesh,2018,2,520010,31871
249,andhra-pradesh,2018,2,524002,31134
250,andhra-pradesh,2018,3,517501,65157
251,andhra-pradesh,2018,3,517507,54849
252,andhra-pradesh,2018,3,530016,52259
253,andhra-pradesh,2018,3,515001,51449
254,andhra-pradesh,2018,3,516001,46691
255,andhra-pradesh,2018,3,518002,45145
256,andhra-pradesh,2018,3,516360,41963
257,andhra-pradesh,2018,3,530026,40580
258,andhra-pradesh,2018,3,520010,38918
259,andhra-pradesh,2018,3,524002,37559
260,andhra-pradesh,2018,4,517501,82873
261,andhra-pradesh,2018,4,517507,70421
262,andhra-pradesh,2018,4,530016,65549
263,andhra-pradesh,2018,4,515001,63576
264,andhra-pradesh,2018,4,516001,58028
265,andhra-pradesh,2018,4,518002,55735
266,andhra-pradesh,2018,4,516360,52058
267,andhra-pradesh,2018,4,530026,51900
268,andhra-pradesh,2018,4,520010,48991
269,andhra-pradesh,2018,4,524002,46616
270,andhra-pradesh,2019,1,517501,100561
271,andhra-pradesh,2019,1,517507,85980
272,andhra-pradesh,2019,1,530016,77790
273,andhra-pradesh,2019,1,515001,75171
274,andhra-pradesh,2019,1,516001,68514
275,andhra-pradesh,2019,1,518002,66689
276,andhra-pradesh,2019,1,530026,61623
277,andhra-pradesh,2019,1,516360,60798
278,andhra-pradesh,2019,1,520010,59055
279,andhra-pradesh,2019,1,524002,55931
280,andhra-pradesh,2019,2,517501,113033
281,andhra-pradesh,2019,2,517507,97534
282,andhra-pradesh,2019,2,530016,87556
283,andhra-pradesh,2019,2,515001,84157
284,andhra-pradesh,2019,2,516001,76617
285,andhra-pradesh,2019,2,518002,75952
286,andhra-pradesh,2019,2,530026,68283
287,andhra-pradesh,2019,2,516360,66885
288,andhra-pradesh,2019,2,520010,66082
289,andhra-pradesh,2019,2,524002,62933
290,andhra-pradesh,2019,3,517501,124727
291,andhra-pradesh,2019,3,517507,108199
292,andhra-pradesh,2019,3,530016,97323
293,andhra-pradesh,2019,3,515001,93191
294,andhra-pradesh,2019,3,518002,84918
295,andhra-pradesh,2019,3,516001,84693
296,andhra-pradesh,2019,3,530026,74501
297,andhra-pradesh,2019,3,516360,73267
298,andhra-pradesh,2019,3,520010,72722
299,andhra-pradesh,2019,3,524002,69783
300,andhra-pradesh,2019,4,517501,136436
301,andhra-pradesh,2019,4,517507,119146
302,andhra-pradesh,2019,4,530016,106404
303,andhra-pradesh,2019,4,515001,102848
304,andhra-pradesh,2019,4,516001,94209
305,andhra-pradesh,2019,4,518002,94193
306,andhra-pradesh,2019,4,516360,81619
307,andhra-pradesh,2019,4,530026,81191
308,andhra-pradesh,2019,4,520010,79453
309,andhra-pradesh,2019,4,524002,77681
310,andhra-pradesh,2020,1,517501,146823
311,andhra-pradesh,2020,1,517507,129214
312,andhra-pradesh,2020,1,530016,114042
313,andhra-pradesh,2020,1,515001,111359
314,andhra-pradesh,2020,1,518002,102905
315,andhra-pradesh,2020,1,516001,102893
316,andhra-pradesh,2020,1,516360,89774
317,andhra-pradesh,2020,1,530026,87449
318,andhra-pradesh,2020,1,524002,85878
319,andhra-pradesh,2020,1,520010,85779
320,andhra-pradesh,2020,2,517501,156221
321,andhra-pradesh,2020,2,517507,138735
322,andhra-pradesh,2020,2,530016,120621
323,andhra-pradesh,2020,2,515001,119223
324,andhra-pradesh,2020,2,518002,112673
325,andhra-pradesh,2020,2,516001,111898
326,andhra-pradesh,2020,2,516360,98803
327,andhra-pradesh,2020,2,524002,93834
328,andhra-pradesh,2020,2,530026,93224
329,andhra-pradesh,2020,2,520010,91299
330,andhra-pradesh,2020,3,517501,166768
331,andhra-pradesh,2020,3,517507,149001
332,andhra-pradesh,2020,3,515001,128227
333,andhra-pradesh,2020,3,530016,128059
334,andhra-pradesh,2020,3,518002,121529
335,andhra-pradesh,2020,3,516001,120997
336,andhra-pradesh,2020,3,516360,108073
337,andhra-pradesh,2020,3,524002,102103
338,andhra-pradesh,2020,3,530026,99754
339,andhra-pradesh,2020,3,520010,97752
340,andhra-pradesh,2020,4,517501,178328
341,andhra-pradesh,2020,4,517507,160062
342,andhra-pradesh,2020,4,515001,137945
343,andhra-pradesh,2020,4,530016,136049
344,andhra-pradesh,2020,4,518002,130871
345,andhra-pradesh,2020,4,516001,130500
346,andhra-pradesh,2020,4,516360,117397
347,andhra-pradesh,2020,4,524002,110746
348,andhra-pradesh,2020,4,530026,106320
349,andhra-pradesh,2020,4,520010,104956
350,andhra-pradesh,2021,1,517501,190712
351,andhra-pradesh,2021,1,517507,171417
352,andhra-pradesh,2021,1,515001,147941
353,andhra-pradesh,2021,1,530016,145206
354,andhra-pradesh,2021,1,518002,140153
355,andhra-pradesh,2021,1,516001,139840
356,andhra-pradesh,2021,1,516360,126260
357,andhra-pradesh,2021,1,524002,118730
358,andhra-pradesh,2021,1,530026,113581
359,andhra-pradesh,2021,1,520010,112324
360,andhra-pradesh,2021,2,517501,203005
361,andhra-pradesh,2021,2,517507,182425
362,andhra-pradesh,2021,2,515001,157649
363,andhra-pradesh,2021,2,530016,154509
364,andhra-pradesh,2021,2,518002,149368
365,andhra-pradesh,2021,2,516001,148851
366,andhra-pradesh,2021,2,516360,134622
367,andhra-pradesh,2021,2,524002,126459
368,andhra-pradesh,2021,2,530026,120973
369,andhra-pradesh,2021,2,520010,119561
370,andhra-pradesh,2021,3,517501,216777
371,andhra-pradesh,2021,3,517507,194860
372,andhra-pradesh,2021,3,515001,168654
373,andhra-pradesh,2021,3,530016,164812
374,andhra-pradesh,2021,3,518002,159802
375,andhra-pradesh,2021,3,516001,158891
376,andhra-pradesh,2021,3,516360,144068
377,andhra-pradesh,2021,3,524002,135136
378,andhra-pradesh,2021,3,530026,129270
379,andhra-pradesh,2021,3,520010,127618
380,andhra-pradesh,2021,4,517501,230688
381,andhra-pradesh,2021,4,517507,207174
382,andhra-pradesh,2021,4,515001,179763
383,andhra-pradesh,2021,4,530016,175300
384,andhra-pradesh,2021,4,518002,170267
385,andhra-pradesh,2021,4,516001,169158
386,andhra-pradesh,2021,4,516360,153381
387,andhra-pradesh,2021,4,524002,143764
388,andhra-pradesh,2021,4,530026,137812
389,andhra-pradesh,2021,4,520010,135719
390,andhra-pradesh,2022,1,517501,243791
391,andhra-pradesh,2022,1,517507,218905
392,andhra-pradesh,2022,1,515001,190203
393,andhra-pradesh,2022,1,530016,185094
394,andhra-pradesh,2022,1,518002,180102
395,andhra-pradesh,2022,1,516001,179007
396,andhra-pradesh,2022,1,516360,162263
397,andhra-pradesh,2022,1,524002,151939
398,andhra-pradesh,2022,1,530026,145842
399,andhra-pradesh,2022,1,520010,143308
400,andhra-pradesh,2022,2,517501,256290
401,andhra-pradesh,2022,2,517507,229983
402,andhra-pradesh,2022,2,515001,200266
403,andhra-pradesh,2022,2,530016,194513
404,andhra-pradesh,2022,2,518002,189505
405,andhra-pradesh,2022,2,516001,188295
406,andhra-pradesh,2022,2,516360,170855
407,andhra-pradesh,2022,2,524002,159834
408,andhra-pradesh,2022,2,530026,153586
409,andhra-pradesh,2022,2,520010,150546
410,andhra-pradesh,2022,3,517501,269370
411,andhra-pradesh,2022,3,517507,241720
412,andhra-pradesh,2022,3,515001,210661
413,andhra-pradesh,2022,3,530016,204230
414,andhra-pradesh,2022,3,518002,199354
415,andhra-pradesh,2022,3,516001,197910
416,andhra-pradesh,2022,3,516360,179806
417,andhra-pradesh,2022,3,524002,168015
418,andhra-pradesh,2022,3,530026,161715
419,andhra-pradesh,2022,3,520010,158071
420,andhra-pradesh,2022,4,517501,282766
421,andhra-pradesh,2022,4,517507,253314
422,andhra-pradesh,2022,4,515001,221328
423,andhra-pradesh,2022,4,530016,214155
424,andhra-pradesh,2022,4,518002,209376
425,andhra-pradesh,2022,4,516001,207725
426,andhra-pradesh,2022,4,516360,188768
427,andhra-pradesh,2022,4,524002,176415
428,andhra-pradesh,2022,4,530026,169957
429,andhra-pradesh,2022,4,520010,165734
430,andhra-pradesh,2023,1,517501,295420
431,andhra-pradesh,2023,1,517507,264456
432,andhra-pradesh,2023,1,515001,231542
433,andhra-pradesh,2023,1,530016,223726
434,andhra-pradesh,2023,1,518002,219100
435,andhra-pradesh,2023,1,516001,217104
436,andhra-pradesh,2023,1,516360,197437
437,andhra-pradesh,2023,1,524002,184419
438,andhra-pradesh,2023,1,530026,177985
439,andhra-pradesh,2023,1,520010,173156
440,andhra-pradesh,2023,2,517501,306201
441,andhra-pradesh,2023,2,517507,273955
442,andhra-pradesh,2023,2,515001,240176
443,andhra-pradesh,2023,2,530016,231775
444,andhra-pradesh,2023,2,518002,227292
445,andhra-pradesh,2023,2,516001,225126
446,andhra-pradesh,2023,2,516360,204900
447,andhra-pradesh,2023,2,524002,191332
448,andhra-pradesh,2023,2,530026,184561
449,andhra-pradesh,2023,2,520001,179439
450,andhra-pradesh,2023,3,517501,317981
451,andhra-pradesh,2023,3,517507,284487
452,andhra-pradesh,2023,3,515001,249655
453,andhra-pradesh,2023,3,530016,240480
454,andhra-pradesh,2023,3,518002,236199
455,andhra-pradesh,2023,3,516001,233874
456,andhra-pradesh,2023,3,516360,213165
457,andhra-pradesh,2023,3,524002,198528
458,andhra-pradesh,2023,3,530026,192066
459,andhra-pradesh,2023,3,520001,186511
460,arunachal-pradesh,2018,1,791110,2316
461,arunachal-pradesh,2018,1,791111,2203
462,arunachal-pradesh,2018,1,791113,1475
463,arunachal-pradesh,2018,1,791102,1471
464,arunachal-pradesh,2018,1,790104,1139
465,arunachal-pradesh,2018,1,791001,969
466,arunachal-pradesh,2018,1,791109,857
467,arunachal-pradesh,2018,1,792103,829
468,arunachal-pradesh,2018,1,792001,828
469,arunachal-pradesh,2018,1,790116,766
470,arunachal-pradesh,2018,2,791110,3488
471,arunachal-pradesh,2018,2,791111,3272
472,arunachal-pradesh,2018,2,791113,2219
473,arunachal-pradesh,2018,2,791102,2212
474,arunachal-pradesh,2018,2,790104,1698
475,arunachal-pradesh,2018,2,792103,1457
476,arunachal-pradesh,2018,2,791001,1421
477,arunachal-pradesh,2018,2,792001,1315
478,arunachal-pradesh,2018,2,791109,1231
479,arunachal-pradesh,2018,2,790116,1213
480,arunachal-pradesh,2018,3,791110,4872
481,arunachal-pradesh,2018,3,791111,4610
482,arunachal-pradesh,2018,3,791113,3178
483,arunachal-pradesh,2018,3,791102,3077
484,arunachal-pradesh,2018,3,790104,2328
485,arunachal-pradesh,2018,3,792103,2067
486,arunachal-pradesh,2018,3,791001,1907
487,arunachal-pradesh,2018,3,792001,1819
488,arunachal-pradesh,2018,3,790116,1623
489,arunachal-pradesh,2018,3,791109,1612
490,arunachal-pradesh,2018,4,791110,6599
491,arunachal-pradesh,2018,4,791111,6225
492,arunachal-pradesh,2018,4,791113,4115
493,arunachal-pradesh,2018,4,791102,4109
494,arunachal-pradesh,2018,4,790104,3034
495,arunachal-pradesh,2018,4,792103,2741
496,arunachal-pradesh,2018,4,792001,2577
497,arunachal-pradesh,2018,4,791001,2444
498,arunachal-pradesh,2018,4,790116,2206
499,arunachal-pradesh,2018,4,791109,2071
500,arunachal-pradesh,2019,1,791110,8094
501,arunachal-pradesh,2019,1,791111,7673
502,arunachal-pradesh,2019,1,791113,5140
503,arunachal-pradesh,2019,1,791102,5030
504,arunachal-pradesh,2019,1,790104,3751
505,arunachal-pradesh,2019,1,792103,3477
506,arunachal-pradesh,2019,1,792001,3160
507,arunachal-pradesh,2019,1,791001,3103
508,arunachal-pradesh,2019,1,790116,2798
509,arunachal-pradesh,2019,1,791109,2519
510,arunachal-pradesh,2019,2,791110,10055
511,arunachal-pradesh,2019,2,791111,9597
512,arunachal-pradesh,2019,2,791113,6418
513,arunachal-pradesh,2019,2,791102,6283
514,arunachal-pradesh,2019,2,790104,4437
515,arunachal-pradesh,2019,2,792103,4369
516,arunachal-pradesh,2019,2,791001,3960
517,arunachal-pradesh,2019,2,792001,3918
518,arunachal-pradesh,2019,2,790116,3335
519,arunachal-pradesh,2019,2,791109,3151
520,arunachal-pradesh,2019,3,791110,11834
521,arunachal-pradesh,2019,3,791111,11464
522,arunachal-pradesh,2019,3,791113,7593
523,arunachal-pradesh,2019,3,791102,7308
524,arunachal-pradesh,2019,3,792103,5172
525,arunachal-pradesh,2019,3,790104,4964
526,arunachal-pradesh,2019,3,791001,4733
527,arunachal-pradesh,2019,3,792001,4605
528,arunachal-pradesh,2019,3,791109,3715
529,arunachal-pradesh,2019,3,790116,3709
530,arunachal-pradesh,2019,4,791110,13737
531,arunachal-pradesh,2019,4,791111,13109
532,arunachal-pradesh,2019,4,791113,8753
533,arunachal-pradesh,2019,4,791102,8369
534,arunachal-pradesh,2019,4,792103,5974
535,arunachal-pradesh,2019,4,790104,5523
536,arunachal-pradesh,2019,4,791001,5499
537,arunachal-pradesh,2019,4,792001,5268
538,arunachal-pradesh,2019,4,791109,4216
539,arunachal-pradesh,2019,4,790116,4071
540,arunachal-pradesh,2020,1,791110,15867
541,arunachal-pradesh,2020,1,791111,14888
542,arunachal-pradesh,2020,1,791113,10049
543,arunachal-pradesh,2020,1,791102,9584
544,arunachal-pradesh,2020,1,792103,6949
545,arunachal-pradesh,2020,1,791001,6631
546,arunachal-pradesh,2020,1,790104,6108
547,arunachal-pradesh,2020,1,792001,6044
548,arunachal-pradesh,2020,1,791109,4808
549,arunachal-pradesh,2020,1,792110,4690
550,arunachal-pradesh,2020,2,791110,18699
551,arunachal-pradesh,2020,2,791111,17137
552,arunachal-pradesh,2020,2,791113,11777
553,arunachal-pradesh,2020,2,791102,11547
554,arunachal-pradesh,2020,2,792103,8648
555,arunachal-pradesh,2020,2,791001,8304
556,arunachal-pradesh,2020,2,792001,7106
557,arunachal-pradesh,2020,2,790104,6860
558,arunachal-pradesh,2020,2,792110,5825
559,arunachal-pradesh,2020,2,791109,5521
560,arunachal-pradesh,2020,3,791110,21772
561,arunachal-pradesh,2020,3,791111,19597
562,arunachal-pradesh,2020,3,791113,13723
563,arunachal-pradesh,2020,3,791102,13422
564,arunachal-pradesh,2020,3,792103,9996
565,arunachal-pradesh,2020,3,791001,9880
566,arunachal-pradesh,2020,3,792001,8196
567,arunachal-pradesh,2020,3,790104,7622
568,arunachal-pradesh,2020,3,792110,6844
569,arunachal-pradesh,2020,3,791109,6404
570,arunachal-pradesh,2020,4,791110,24414
571,arunachal-pradesh,2020,4,791111,21845
572,arunachal-pradesh,2020,4,791113,15540
573,arunachal-pradesh,2020,4,791102,14955
574,arunachal-pradesh,2020,4,791001,11382
575,arunachal-pradesh,2020,4,792103,10964
576,arunachal-pradesh,2020,4,792001,9130
577,arunachal-pradesh,2020,4,790104,8391
578,arunachal-pradesh,2020,4,792110,7743
